id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
17516,2021-08-13 18:30:00,2021-2022,Bundesliga,Borussia M.Gladbach,Bayern Munich,1,1,Bayern Munich,2.91794,1.98777,D,Borussia M.Gladbach,Away
17533,2021-08-22 15:30:00,2021-2022,Bundesliga,Bayern Munich,FC Cologne,3,2,Bayern Munich,3.08002,0.957893,W,FC Cologne,Home
17540,2021-08-28 16:30:00,2021-2022,Bundesliga,Bayern Munich,Hertha Berlin,5,0,Bayern Munich,4.25513,0.575566,W,Hertha Berlin,Home
17548,2021-09-11 16:30:00,2021-2022,Bundesliga,RasenBallsport Leipzig,Bayern Munich,1,4,Bayern Munich,4.30091,0.347898,L,RasenBallsport Leipzig,Away
17556,2021-09-18 13:30:00,2021-2022,Bundesliga,Bayern Munich,Bochum,7,0,Bayern Munich,6.88189,1.23312,W,Bochum,Home
17561,2021-09-24 18:30:00,2021-2022,Bundesliga,Greuther Fuerth,Bayern Munich,1,3,Bayern Munich,0.677915,0.655908,L,Greuther Fuerth,Away
17578,2021-10-03 15:30:00,2021-2022,Bundesliga,Bayern Munich,Eintracht Frankfurt,1,2,Bayern Munich,2.18047,0.389616,L,Eintracht Frankfurt,Home
17585,2021-10-17 13:30:00,2021-2022,Bundesliga,Bayer Leverkusen,Bayern Munich,1,5,Bayern Munich,3.44913,0.729378,L,Bayer Leverkusen,Away
17596,2021-10-23 13:30:00,2021-2022,Bundesliga,Bayern Munich,Hoffenheim,4,0,Bayern Munich,3.31148,0.446465,W,Hoffenheim,Home
17602,2021-10-30 13:30:00,2021-2022,Bundesliga,Union Berlin,Bayern Munich,2,5,Bayern Munich,3.14739,0.744794,L,Union Berlin,Away
17614,2021-11-06 14:30:00,2021-2022,Bundesliga,Bayern Munich,Freiburg,2,1,Bayern Munich,3.16849,0.910798,W,Freiburg,Home
17616,2021-11-19 19:30:00,2021-2022,Bundesliga,Augsburg,Bayern Munich,2,1,Bayern Munich,1.24258,0.614461,W,Augsburg,Away
17632,2021-11-27 17:30:00,2021-2022,Bundesliga,Bayern Munich,Arminia Bielefeld,1,0,Bayern Munich,2.67728,0.385377,W,Arminia Bielefeld,Home
17641,2021-12-04 17:30:00,2021-2022,Bundesliga,Borussia Dortmund,Bayern Munich,2,3,Bayern Munich,2.42143,1.43058,L,Borussia Dortmund,Away
17650,2021-12-11 14:30:00,2021-2022,Bundesliga,Bayern Munich,Mainz 05,2,1,Bayern Munich,1.78613,0.872668,W,Mainz 05,Home
17654,2021-12-14 17:30:00,2021-2022,Bundesliga,VfB Stuttgart,Bayern Munich,0,5,Bayern Munich,4.98146,1.04709,L,VfB Stuttgart,Away
17668,2021-12-17 19:30:00,2021-2022,Bundesliga,Bayern Munich,Wolfsburg,4,0,Bayern Munich,4.31291,1.41635,W,Wolfsburg,Home
17677,2022-01-07 19:30:00,2021-2022,Bundesliga,Bayern Munich,Borussia M.Gladbach,1,2,Bayern Munich,1.35599,1.51069,L,Borussia M.Gladbach,Home
17678,2022-01-15 14:30:00,2021-2022,Bundesliga,FC Cologne,Bayern Munich,0,4,Bayern Munich,3.87329,1.0312,L,FC Cologne,Away
17689,2022-01-23 16:30:00,2021-2022,Bundesliga,Hertha Berlin,Bayern Munich,1,4,Bayern Munich,5.18503,0.847937,L,Hertha Berlin,Away
17704,2022-02-05 17:30:00,2021-2022,Bundesliga,Bayern Munich,RasenBallsport Leipzig,3,2,Bayern Munich,3.0334,2.65667,W,RasenBallsport Leipzig,Home
17706,2022-02-12 14:30:00,2021-2022,Bundesliga,Bochum,Bayern Munich,4,2,Bayern Munich,1.87083,1.34846,W,Bochum,Away
17722,2022-02-20 14:30:00,2021-2022,Bundesliga,Bayern Munich,Greuther Fuerth,4,1,Bayern Munich,2.52333,0.66071,W,Greuther Fuerth,Home
17731,2022-02-26 17:30:00,2021-2022,Bundesliga,Eintracht Frankfurt,Bayern Munich,0,1,Bayern Munich,2.60814,1.1892,L,Eintracht Frankfurt,Away
17740,2022-03-05 14:30:00,2021-2022,Bundesliga,Bayern Munich,Bayer Leverkusen,1,1,Bayern Munich,1.6659,2.26407,D,Bayer Leverkusen,Home
17743,2022-03-12 14:30:00,2021-2022,Bundesliga,Hoffenheim,Bayern Munich,1,1,Bayern Munich,3.98532,2.02668,D,Hoffenheim,Away
17758,2022-03-19 17:30:00,2021-2022,Bundesliga,Bayern Munich,Union Berlin,4,0,Bayern Munich,2.82028,1.38973,W,Union Berlin,Home
17762,2022-04-02 13:30:00,2021-2022,Bundesliga,Freiburg,Bayern Munich,1,4,Bayern Munich,3.15613,0.754263,L,Freiburg,Away
17776,2022-04-09 13:30:00,2021-2022,Bundesliga,Bayern Munich,Augsburg,1,0,Bayern Munich,1.43145,0.277271,W,Augsburg,Home
17777,2022-04-17 13:30:00,2021-2022,Bundesliga,Arminia Bielefeld,Bayern Munich,0,3,Bayern Munich,3.49911,0.463135,L,Arminia Bielefeld,Away
17794,2022-04-23 16:30:00,2021-2022,Bundesliga,Bayern Munich,Borussia Dortmund,3,1,Bayern Munich,2.0232,1.17213,W,Borussia Dortmund,Home
17797,2022-04-30 13:30:00,2021-2022,Bundesliga,Mainz 05,Bayern Munich,3,1,Bayern Munich,1.23601,3.17227,W,Mainz 05,Away
17812,2022-05-08 15:30:00,2021-2022,Bundesliga,Bayern Munich,VfB Stuttgart,2,2,Bayern Munich,2.77465,1.95837,D,VfB Stuttgart,Home
17820,2022-05-14 13:30:00,2021-2022,Bundesliga,Wolfsburg,Bayern Munich,2,2,Bayern Munich,2.07091,1.14112,D,Wolfsburg,Away
